overall,vote,reviewTime,reviewerID,asin,reviewText,summary,negative,neutral,positive,compound
2.0,,2017-08-06,A3CUDD6D1JR6VV,0975277324,great game. but the board is so severely warped that it's practically unplayable.,bad board,0.281,0.584,0.135,-0.5789
2.0,,2016-12-26,AW698I21HTP6E,0975277324,"many of the cities on the gameboard are in the wrong place. for instance, duluth, mn is drawn where minneapolis and st. paul are located. annoying.",annoying.,0.195,0.805,0.0,-0.7003
3.0,,2015-08-01,AQHXMNMG87PG4,0975277324,"not particularly interesting, kids were bored rather quickly",kids were bored rather,0.433,0.567,0.0,-0.5536
1.0,7,2014-02-21,A32ZHI0H5Z7PI2,0975277324,"it needs changes in four of its rules, and reminds me of risk, where i could potentially lose friends.  the game takes about 1 hour to play.  the only good thing i can say is the artwork is beautiful.  the cover belongs in a frame and should be hung on a wall. i was accused of being vindictive for blocking two other players deliberately, which is not against the rules.  when i suggested modifying some rules, which would make that type of strategy a waste, those two players said no.  i went to bed angry that night for being labeled the villain.  i was still angry the next morning, and i was angry all day at work over the game!  i haven't played it with them since. two rules i consider most needing to be fixed are: 1. there should be no penalty for incomplete destinations. 2. allow the use of double paths for three or more players. when a player's destination becomes deliberately blocked, i see the same kind of irritation you get when a player is attacked in the game of risk, and that attack takes a continent away from them. also, the small cars are too easily knocked around on the board.  since i stopped playing this game, i bought seven wonders, which is way more interesting, and has no possible avenues for irritation. i did make one mistake in my review.  this game deserves zero stars instead of 1!!  i gave this game away, and couldn't get it out of my house fast enough!",too cutthroat!,0.209,0.717,0.074,-0.9883
2.0,,2017-11-24,A3PONNYUCPPQPQ,0976990709,"im pretty excited to start this tradition. im not sure what happened but my book box is a little damaged. i know it shouldnt be a big deal, but ill be saving it for hopefully the next decade and it stinks that it will not be perfect to start.  the amazon box was not damaged so it makes me believe it didn't happen during shipping.",im pretty excited to start this tradition,0.232,0.651,0.118,-0.8779
1.0,,2015-11-08,A30D64MW3W2PC8,0976990709,"we received it as a gift from my sister in law (considered to be a verrry smart woman by the way). i decided to open it when my child was 2 y.o.
so my child took it ""to play"", and i never saw the elf until easter. i asked where is the elf? my child answered : he is far away, you will not find him! another time i said to my child : that bad elf will take all of your toys if you will keep misbehaving! and my child said: no he will not! ha-ha! he is a simple toy! and started to laugh!
i never read to her that stupid ""book"" of course. and the toy elf is still somewhere in her toy chest i think.","2 y.o. girl called it ""a simple toy"" and hid it till easter (just in case)",0.098,0.832,0.07,-0.5815
2.0,,2015-01-02,AV1H8KJCX45WL,0976990709,"someone is laughing all the way to the bank and retiring early, and it's not me.

i hated the book.  the illustrations are ugly, and worse, the words are pathetic.  in a desperate attempt to rhyme, there are some really lame lines and bad choices of words in there.  i find myself paraphrasing every time i read it.  you don't need the book.  you can just explain to your child that  there is a magical elf that helps santa by reporting who's been naughty and who's been nice, every night.  every morning he comes back and hangs out in a new spot.  just one rule: ""you can't touch this - hammertime!"" or he might lose his magic.

the elf isn't bendy or velcroed or anything, so it was difficult to pose him anywhere except a shelf.  for this amount of money, couldn't you at least make his hands velcro together?

lastly, my kids were not into it (age 2 and 3).  maybe they were too young, or too spoiled.  the elf brought them occasional gifts (advent calendar, chocolate, diecast car, pajamas) - still, the elf got no love.  i will try again next year, but will make our own elf book together with our kids.",buy a cute and bendy gnome and make your own book,0.087,0.862,0.051,-0.6743
1.0,3,2014-12-05,A1YN0T8F44AYZ6,0976990709,"do not buy!!! read the story of the elf carefully. notice that on christmas eve the elf has to leave the house and go back to the north pole to return next year. many kids will find the elf amusing and will get attached to him and will cry and miss the elf on christmas morning! poof, your christmas will become a tragedy and not a happy event. your child will cry because they will miss their funny elf friend. dont start this tradition!!! don't say i didn't warn you!",don't start this tradition!!!,0.193,0.71,0.097,-0.8475
2.0,,2014-01-03,A719KT8LVVYM5,0976990709,"amazing that this sells for $30.  the elf is the cheapest toy i've ever bought- it's not positionable, and the arms don't open.  good marketing!!
my son believes he's real, but it didn't stop him from being bad!",cheap elf,0.159,0.738,0.103,-0.5569
2.0,12,2010-12-06,A2CSPTFY7QPT78,0976990709,"not to be a scrooge, because the kids do have fun getting look for the elf every morning. but as a parent, i have to warn other parents. think of how much magic has to be conjured for this elf to move every single night! poor, hard-working elf. it's a delicate house of cards to have santa's magic tied with this guy. resist!",think twice before buying!,0.098,0.849,0.053,-0.5972
1.0,,2015-12-16,A1PNVTO9RK836L,098153970X,"this book is horrific!!! i wonder if it was even proof-read or edited prior to being published. boring, lacks any type of stimulating plot that would capture a child's interest, and has bizarre illustrations to capture the pathetic storyline. please do yourself a favor and get an elf on the shelf. the elf is tacky looking",don't buy it!! not worth it- get elf on the shelf instead,0.195,0.648,0.157,-0.5684
3.0,,2017-07-02,A96HX2NEJTG5A,1223063151,"nothing against scrabble, as this was my first time ever purchasing a scrabble board.  i went with this one since i've heard stories of epic games being ruined by all the pieces sliding off the board.  the lock system is a nice feature.  keep in mind that the lock keeps the pieces in place if the board gets bumped or moved.  if a sore sport decides to capsize the board, the pieces will still ""unlock"".  my only gripe is that everything, everything is plastic.  i personally am not a fan of plastic, and for those wanting the nostalgia of the cardboard board, this will not be the board for you.",plastic scrabble,0.069,0.906,0.025,-0.5806
3.0,,2017-03-20,A27J2Y7F97MNJB,1223063151,"this tiles in this set are a bit small to manage but fortunately are easy to read.  the box we received has an error near the bottom of the game board (right side).  it has an extra triple word score that should be a triple letter score.  not sure if this is a knockoff game and the error is intentional.  we noticed that the box top shows the same error.  if not corrected in later productions, buyer beware.",... this set are a bit small to manage but fortunately are easy to read,0.149,0.783,0.069,-0.7931
3.0,,2016-05-16,ABI3IMMPZWCVY,1579823645,"cute, but bad quality.  serves it's purpose.",not what i expected.,0.404,0.426,0.17,-0.5789
1.0,2,2014-02-25,AVIG9M1BDUAIF,1589947061,"found this game at a value village for $2, seems like a good deal right?

wrong, this game is not really a game, so much as it is interactively telling the story of lord of the rings.  no decisions feel important and the game forces you down the path to tell the story the way it was in the books.  if you fail at something you have to keep trying until the story works its way out, otherwise you lose.

dumb game, ripped it apart and used the pieces for other stuff.",most railroady board game ever,0.142,0.766,0.092,-0.7351
1.0,3,2015-12-19,A2TZTKQWJXVK3E,1589949358,a money grab.  game is horrible.,don't buy this.,0.467,0.533,0.0,-0.5423
1.0,9,2014-09-20,A331OF34UX4Y1K,1589947207,"a game of thrones is all about appearance, and no substance at all. one of the most boring, tedious, superficial, unbalanced board games i've ever seen.

as a stroke of genius, fantasy flight quickly released a game based on the famous books.

the game has six factions, quick method of resolving combats, cards to try to add flavor of the book to the game. but nothing works. heck, this game is much worse than the classic britannia.

the map board is beautiful, but it could be about any fictitious land ever written about.

this is a very common war game ( a simple one), extremely unbalanced when played with less than six players, with an annoying ""sudden death"" mechanism to end the game. the components are awful (both ""boats"" - what are that??? - and armies). why spend time playing this when you have dominant species, terra mystica, britannia, eclipse, well, a whole lot of things better?

i understand there is a public for everything, but this is just a terrible game, that does not work at any level.","a real, real letdown",0.16,0.745,0.095,-0.9369
2.0,,2014-07-08,A1LT3LY3YSZ5DL,159174430X,works but not all that great.,two stars,0.47,0.53,0.0,-0.6642
1.0,8,2010-03-18,A2SP49S1GR3BUT,1599450801,"this review is about the description, which is false.  this deck does not include the 5 headed dragon card and it does not include the power of the dualist booster pack.  this item only includes the dinosaur rage deck of 40 cards.",item is not what is described,0.083,0.917,0.0,-0.5574
2.0,,2016-03-12,A3H11TWRA6WXM4,1605843016,box is heavily damaged. not great for a collectible action figure . good if u plan on ripping the box open an using it....,not great for a collectible action figure,0.229,0.664,0.107,-0.5096
2.0,,2015-07-21,A8G7R4UGZIVBU,161659229X,"disappointed with these magnets.  they are thin and difficult to crack out of their magnet shell.  if i had known, i would have passed on this one.",too thin.,0.196,0.804,0.0,-0.6808
2.0,2,2013-05-01,A1AJWJGB89GSIL,1616613963,"i bought this game after seeing some positive reviews and an interesting premise, however things went badly after i broke it out with my gaming group.

but before i continue let me tell you that infiltration is based upon the android board game universe (which i have no knowledge of) in a steam-punk feel.

but maybe i can sum it up better by saying; this is a techy heist game where back stabbing and running through a facility stealing information is the ""order-of-the-day"" (much like the 1992 film ""sneakers"" with robert redford, however the game's characters are much more selfish and don't really work together like in the film).

the rule book is beautiful but lacks a lot of information. i have had so many questions about game play and details, that i've had to go searching on the web for answers. since this isn't a popular game, i've had to go to fantasy flights web and email them my questions, which they've never answered (ultimately i figured out the game).

since then, the game has sat on my shelf and no one in my gaming circle willing touch it. however a recent trip to los angeles, i broke it out with gamers that i had never met, and they all agreed it was one of the worst games ever printed.

stick with me, and i'll explain why.

problems with this broken game are;
 - your character can become wounded by a security guard or a room and this can knock you out of the game. keep in mind there is only 2 rare ways to become healthy. extremely frustrating for the player just sitting there doing nothing.
 - if you become the first player to take a turn, you have dominance over the rest of the players by snatching up all the data tokens ahead of everyone else (and one player dominates the game). i call this the ""mario-bros-2-player-video-game-effect"" (where one player runs ahead and gets all the game coins/stars and other goodies). and the second player is swimming in his digital wake. i've won this game and i felt so bad for everyone else, i couldn't wait to move on after apologizing to them.
 - it appears that a ratio of 1-in-5 item cards actually help negate the run-away-player problem (and some item cards really are useless)... but unless you get those cards, your screwed.
 - layout of the room cards are non-nonsensical and are laid out in an arc? the secret room sometimes cannot be even entered, and this is a problem too.
 - also, this game has very little strategy or real flavor. run through... snatch data tokens... run back before the alarm goes off... bam... done... boring.
 - the characters have no special abilities on their cards and every one of them are flat and lifeless. the game maker should of used colored cubes and numbers in place of players names because that is the level of character painted on theme here.

there are other problems with this game, but clearly every time i break it out, people can't wait to finish it to move onto another game.

i have heard the game was designed by the maker of dominion, a well known and popular fantasy card game, but since i have not played dominion, this is a mute point with me.

don't get me wrong, fantasy flight did produce a beautiful game and the quality of the pieces are ""first-rate"", but it doesn't save the mechanics and details of game play.

to end:

simply stated, infiltration is completely flat and lifeless. i feel nothing towards it and i intend on selling it soon. players don't care about the characters and the way the game is tailored players don't care who wins the game. sadly i feel no sadness when i kill a company worker in the building and some innocent employee getting ""knocked-off""? (is that necessary? most thieves aren't interested in murder on top of their stealing crimes). in infiltration there is no greater alliances with other players and no consequences to almost anything. and when you don't care who wins and when you the player is dead to the circumstances, why play it?

don't buy it unless you plan to make your own rules. instead i advise you to go buy ""can't stop"" a great push your luck game or ""elder sign"" another semi-push-your-luck game. this one is terrible.",infiltration a broken game,0.177,0.718,0.105,-0.9969
3.0,6,2013-06-05,A2E3QI329SL4PO,1616613815,"i've never played a game where i had so much trouble understanding the game mechanics.  the game looks like it has a pretty good following but don't expect to be able to read the cards if you are over 50... the print is tiny, tiny, tiny!!... and for no reason.  bad design choice on that one.",interesting but confusing,0.183,0.725,0.091,-0.7809
2.0,,2016-01-08,A4KGLKG2FZPY,1929780109,"being very experienced game players, my husband and i were surprised that we had to struggle to understand how to play chrononauts. we are relieved to see that we're not the only reviewers who have found the instructions for this game to be overly complicated and confusing due to poor explanations. this game has a good concept but is in serious need of a professional editor!!! as a former professional game editor myself, i am appalled at the lack of clear directions and examples.",extremely complicated & confusing directions!,0.156,0.733,0.111,-0.6281
1.0,2,2017-08-15,A16N0EGR81HU1T,1932188126,very disappointed in these tiles!  they're hollow - nothing like bananagrams tiles from other games i've played.,hollow tiles,0.273,0.613,0.113,-0.5259
1.0,24,2013-12-05,A2F1VQTQGQFIM6,1932188126,"i've played bananagrams with my family for years and loved it- now that my husband and i are on our own i wanted to get a set for us for christmas- i ordered from amazon and just received it and i am dismayed to find that i got a counterfeit set- i didn't read the reviews before purchasing because i knew i liked the product, but i feel let down that amazon let sellers sell a counterfeit item.  i feel like i'm going to pay more in shipping to return it than i paid for the item to myself. such a waste of money- the tiles are cheap plastic (probably made in china with all sorts of chemicals in them), hollow on the back and the printing of the letters is horrible. i am so very disappointed right now.",buyer beware-- counterfeit bananagrams being sold!,0.12,0.79,0.09,-0.8078
1.0,3,2011-06-02,A1U96D2PVTQ7CM,1932855793,"i let the salesman at the store talk me into buying this although i had low expectations.  i bought this for my 7 year old son for christmas.  it was so incredibly useless.  i put it all back together immediately to return for a refund.  however, i had lost the receipt and i had paid cash.  so we still have it.  my son keeps getting it back out to try to play with it, but then he remembers it doesn't do anything!  it is virtually impossible to get the slide to hold steady enough to see anything at all under the microscope.  it is uncomfortable to push the button to hold the light on while you're looking at the slide.  i understood that this was $20 and wouldn't work like an expensive microscope, but i'm telling you, this microscope is the same quality i would expect from a $1 microscope from the dollar store.  it is practically unusable because you can't hold it still and it's too hard to find your object under it.  my son plays with the little vial and the tweezers.  was that worth $20?  no.  trust me.  do not waste your money on this.  you and your child will be disappointed.",believe the bad reviews.,0.094,0.841,0.065,-0.6479
3.0,,2016-12-25,A1GRNQBO9TOLVW,1932855785,very hard to put back together and snap into place. my son wanted it son badly so and he enjoys it but it is a pain to reassemble for him and for me,very hard to put back together and snap into place ...,0.206,0.734,0.06,-0.6772
3.0,,2015-10-13,AER26KM4QOHQG,1932855785,educational toy but difficult to snap parts together.,three stars,0.317,0.683,0.0,-0.5023
2.0,,2013-05-25,AQ83OCQYV7SGX,1933000406,"i am not a stranger to difficult puzzles; if you check my reviews you'll see i did a 1000 piece puzzle of the wicked poster, which is entirely solid blocks of color and almost exclusively three colors.  this puzzle, however, is almost as difficult and ten times more frustrating.  the pieces do not fit together cleanly, and sometimes when they do you realize later they weren't supposed to.  i have redone the border multiple times, and have had large sections that i thought was complete only to have to remove pieces and use elsewhere.  the end result is turning out great, but it's taking us much longer to get there than it should.  at several points we're having to turn the puzzle upside down to see if the fit is correct on the back.

if you're a die-hard harry potter fan, this puzzle is for you.  if you are a puzzle aficionado, run far from this brand.  it will only frustrate you.  the pieces do not stay together well and the slightest bump dislodges them.",poorly created,0.09,0.855,0.055,-0.7407
3.0,,2015-03-27,A3FPZFZJPSPMGI,1932855785,"very interesting to be able to see and touch all the body parts, organs, etc...  yet, it is not as sturdy as i would have liked.  the organs fall out, the plastic case does not stay snapped securely, and one of the gray instruments used to look at the parts with already broke.  i'm sure my kids have learned from it but i got so frustrated with it, it is now in the basement.","interesting, yet not sturdy enough for me.",0.117,0.815,0.068,-0.7114
1.0,3,2014-09-15,A1XV7AGBKOC6KM,1932855785,not that great. hard to keep together. keeps falling appart.,one star,0.371,0.531,0.098,-0.5571
3.0,4,2013-03-13,A1F7IP6EJ5DOR1,1932855785,"when i have received this toy, the book was missed. however, amazon solved the problem. this toy was fun for my 4 years old boy, but i have noticed the quality is quite bad. it is hard to match pins and holes on the skeleton parts. it is also a big challenge to put the organs back as they are supposed to be in a real human body. overall, there is good idea behind this toy and general impression is not very bad, but the quality is poor.",bad quality,0.19,0.687,0.123,-0.8714
3.0,2,2013-01-16,A1T1FURHFVRYU6,1932855785,"toy did not hold interest of a ten year old boy.  ""squishy"" parts did not go together easily once removed.  would not recommend.",did not hold interest,0.259,0.741,0.0,-0.6834
3.0,,2015-01-03,A23JAWZ8RQ4JGH,1933054395,game was difficult to understand at first. the group did not want to play it again.,so so,0.307,0.693,0.0,-0.5801
2.0,,2014-12-18,ACTXQGX7LU8B,1933054395,my eight year old girl never plays with this game... :(,two stars,0.34,0.66,0.0,-0.5632
1.0,3,2014-03-19,AW13VEWAIK18K,1933054395,"like many others the box was sealed but had no bag inside, no instructions, the paint was rough and peeling. in addition the wooden tile paint smelled terrible!! i tried airing out the tiles for a week on the porch but everyone who saw the game said the odor of the tiles was horrible and probably toxic paint. i threw the game away and wish i could reorder but too many others say they were disappointed by knockoffs also.",had to throw away,0.208,0.735,0.057,-0.9426
1.0,12,2014-01-03,AJA559T22X0F0,1933054395,"this came with only the tiles.  no instructions and we still have not figured out a way to print instructions from mindware's site.  there is also supposed to be a bag--this was missing, too.","no instructions, no bag",0.128,0.872,0.0,-0.5267
3.0,,2010-08-01,A35TUFP4UETJG6,1933318872,"got this for christmas. when we played it, it was not much fun. it takes forever for scenes to load up and some questions are just impossible. my hubby and i have been watching the simpsons since the beginning and struggled with a lot of these questions. a regular trivia game with cards would have been more fun.",fun but not for long,0.128,0.833,0.039,-0.6602
2.0,,2015-06-02,A2D8WY3IIDS4RZ,1936112159,good price and shipped well- but bad game.,two stars,0.358,0.377,0.264,-0.5023
1.0,,2015-02-01,A342NLB1AX0KGU,1938146999,"dungeon roll is barely a game. it almost as boring as candyland, and involves 1 or 2 more decisions.

here are all the decisions available to players of dungeon roll:
roll the dice (not a decision..well, i guess you did decide to play)
see what happens (also not a decision)
roll again? (ooh! first decision!)
stop rolling? (ooh! i can choose this more boring option instead of rolling again!)
quit the game forever (definitely the right decision.)

don't buy this game.",think this review is bad? the game is even worse.,0.099,0.901,0.0,-0.7764
2.0,,2017-07-13,A1CIB74ON83984,1938146786,"i played this with 4 players.  i found it to be dry and boring and i couldn't get into it.
the decisions weren't very interesting and when the price of the goods unpredictably change, which can happen at any time, everything you've worked for becomes a waste.  boring, frustrating and annoying.","boring, frustrating and annoying.",0.272,0.686,0.042,-0.9017
1.0,,2016-01-22,A1NZET6J04Y7RO,2914849648,boring and slow paced. the board also coming in two pieces and don't line up well. they also are very hard to keep connected and the have a slight bend in them that makes it hard to,boring and horrible quality,0.19,0.81,0.0,-0.6705
1.0,,2016-07-06,A1V7OW86XLR68W,7293000014,got three of these one broken ! one not ordered by that name and others do not work all the software was not working sent all of them back!! only ordered one of these got three??????,got three of these one broken! one not ordered ...,0.127,0.873,0.0,-0.7128
1.0,,2014-09-18,ANNC62X9E3V50,7293000014,this is the worst r.c. training program in the hole world. i think its 1985 tech. had to install drivers by hand on windows 7 complete disaster  f- it's this kind of stuff that makes me think about what the hell amazon is thinking. if i could give this negative stars it would be -5,complete waste of money time - f-f-f-f-f-f,0.252,0.676,0.072,-0.9357
2.0,,2014-02-06,A8B3BAONC8YHM,7293000014,"was a pain to install and graphics poor, only good thing is you can use controller on other sim loads",poor,0.253,0.632,0.115,-0.5423
1.0,,2011-12-27,A33VQ8W8J1ILE,7293000014,i bought this toy for my son's christmas gift. but it doesn't work on windows vistar. my son was so upset about this useless gift. i want to return this toy. but i need to pay the shipping charge to send back this defect product. i should read all the reviews first before i buy this toy as a christmas gift!!!,buyer beware,0.198,0.649,0.153,-0.6429
1.0,,2016-03-13,A2HJBTMK1VH3ZF,832521760X,the painting is of the lamding gear is mess up. not good.,not good.,0.329,0.671,0.0,-0.6002
2.0,2,2015-04-04,AVADBZV4XCIMI,8326109533,"very good model.  problem is how it's on the stand.  too much weight forward, very difficult to get it to stay off the plane's nose.  i'll have to add weight to the stand or fasten it to a larger stand base.  very sad!!",nose dive,0.191,0.746,0.063,-0.7608
3.0,,2013-10-17,A2BYAF78D4IUBH,9269809021,"2013:
the servo worked three or four times, after that it overheated for no reason so it seems it had some electronic short circuit. i contacted the seller and they sent me another servo with no charge. the battery runs for almost 25 minutes but charge time is 7 hours so i bought a tenergy charger it charges a 3800mah battery in a couple of hours and it should give me 50 minutes of fun.

the front dog bone came unassembled but i had the tool to tighten it so no problem with that. if you want spare parts look for hsp which is practically the same as exceed.

2017 update: here is the list of the upgrades i've done:
- servo savox 1256 on the front axle, and a generic one on the rear, so it runs 4 wheel steering (4ws), and a few extra parts for the rear steering. (best upgrade for this rc)
- esc wp1060 from hobbywing (optional)
- 18003 aluminum caster mounts (front only, recommended for high torque servos)
- 18009 aluminum main gears (both, absolutely necessary))
- aluminum wheel hex (soon, recommended)
- removed bumpers for more clearance (optional)
- 18021 wheel weights (all wheels), helps traction even with cheap stock tires (recommended)

here is the list of the parts broken:
- 18002 rear gear box (front only, probable related to high torque from servo)
- 18006 caster mounts (front only, got stuck between rocks, so the high torque from the servo broke one of the casters)
- 18009 main gears (it's cheap plastic)
- 18016 wheel hex (just one)
- 18025 front and rear bumpers (not used)
- 18090 motor (failed and was replaced by seller)
- stock servo (failed and was replaced by seller)
- 18029 esc (blown away on a fog-of-war battle)",almost what i expected,0.077,0.884,0.039,-0.8877
1.0,2,2013-01-30,A2BROB0253KSK8,957583738X,"this is a bootleg item, that's why it's so cheap. not that i'm saying you shouldn't buy it, but if you're looking for the legitmate item you're in the wrong place.",this is a bootleg...,0.125,0.875,0.0,-0.631
2.0,76,2012-04-19,A285MBHEWKC9LD,9866500500,"i should have payed more attention to the pictures, when i ordered these i thought they were going to be the nendoroids from the first picture but they in fact are not...i realized it after i got them in the mail. the ones you get are those in the second and third pic, they are clearly lower quality the colors are way off on some of them and the details aren't painted on them at all. i should have noticed (by the price) that they weren't the originals, but at less than $4 a piece ill simply paint the corrections myself. the ones in the first pic currently sell for around $25 each. you can compare the quality between the pics yourself, i was disappointed but i don't think my purchase was a total loss. after i repaint them they'll still look nice in my collection until i have the money to replace them with originals.",not what i thought they were...,0.085,0.87,0.045,-0.7469
1.0,56,2012-06-23,A1SDU665AWKYEE,9866500500,when i received this order i found that i had two rins instead of having a len and then they expect me to pay for shipping to return this item when this was their mistake in the first place!!! because of their mistake i am now stuck with an incomplete vocaloid set! besides from that the box was in terrible condition when i received it and some of the vocaloid characters are terribly painted to where it looks like they are faded such as luka's hair which is more of a lavender than a bright pink and miko's hair was blonde instead of brown. horrible customer service and horrible item; i will never buy from this company ever again and i recommend everyone to do the same.,never again!!!!,0.168,0.774,0.058,-0.9345
3.0,,2005-07-24,A13XUPXF7QZ4ZB,B00000DMBB,"i don't like this. it's just finding other people's ships. i mean, it's just like the game of memory!!! that game stinks. i don't like this. (sorry if you like this game a lot)",battle bummer,0.312,0.688,0.0,-0.8525
3.0,,2015-09-26,AXCD5E6QSEKM3,B00000DMDJ,"lid arrived bent. it was for a birthday and time sensitive, and can be closed with effort, but i was a little sad about it.",but i was a little sad about it,0.15,0.85,0.0,-0.5734
